Unnamed: 0,DRNumber,DateReported,DateOccured,TimeOccured,AreaCode,AreaName,ReportedDistrictNumber,CrimeClassification,CrimeCode,CrimeCodeDescription,Mocodes,VictimAge,VictimSex,VictimDescent,PremisCode,PremisDescription,WeaponUsedCode,WeaponDescription,StatusCode,StatusDescription,Crm Cd 1,SecondaryCrimeCode,TertieryCrimeCode,QuartinaryCrimeCode,location,Cross Street,LatitudeCoordinates,longitudeCoordinates
1000000,240205378,2024-01-25,2024-01-25,14:55,2,Rampart,246,Misdemeanor,888,TRESPASSING,0910 1822 1501,0.0,Non-Binary,Unknown,904.0,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,No Weapon Recorded,No Weapon Used,IC,Invest Cont,888.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,600 S ALVARADO ST,Unknown,34.0595,-118.2749
1000001,240906703,2024-03-12,2024-03-11,16:00,9,Van Nuys,905,Indictable Offence,510,VEHICLE - STOLEN,Not Available,0.0,Not Recorded,Not Recorded,101.0,STREET,No Weapon Recorded,No Weapon Used,IC,Invest Cont,510.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,WYANDOTTE ST,VISTA DEL MONTE              AV,34.203,-118.4501
1000002,242007662,2024-03-24,2024-03-24,09:30,20,Olympic,2097,Misdemeanor,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0913 1813 1276 0340 1203,20.0,Female,Hispanic/Latin/Mexican,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,RAYMOND,20TH                         ST,34.0376,-118.2974
1000003,240308388,2024-03-27,2024-03-27,13:00,3,Southwest,363,Indictable Offence,210,ROBBERY,1822 0104 0325 0342 0444 0945,23.0,Non-Binary,Unknown,402.0,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,3900 CRENSHAW BL,Unknown,34.0121,-118.3351
1000004,241012308,2024-11-15,2024-11-11,13:30,10,West Valley,1019,Indictable Offence,330,BURGLARY FROM VEHICLE,0913 0344 1300 1803,66.0,Male,Hispanic/Latin/Mexican,108.0,PARKING LOT,No Weapon Recorded,No Weapon Used,IC,Invest Cont,330.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,7900 HASKELL AV,Unknown,34.2139,-118.4749
1000005,241210755,2024-04-26,2024-04-25,17:00,12,77th Street,1265,Indictable Offence,510,VEHICLE - STOLEN,Not Available,0.0,Not Recorded,Not Recorded,101.0,STREET,No Weapon Recorded,No Weapon Used,IC,Invest Cont,510.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,8400 S VERMONT AV,Unknown,33.9611,-118.2917
1000006,240709778,2024-06-26,2024-03-13,05:00,7,Wilshire,789,Misdemeanor,354,THEFT OF IDENTITY,0100 1822 0930,39.0,Male,White,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",No Weapon Recorded,No Weapon Used,IC,Invest Cont,354.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,2000 3RD AV,Unknown,34.0387,-118.3201
1000007,240309156,2024-04-13,2024-04-13,12:35,3,Southwest,353,Indictable Offence,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104 1822,23.0,Non-Binary,Unknown,405.0,CLOTHING STORE,No Weapon Recorded,No Weapon Used,IC,Invest Cont,442.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,CRENSHAW BL,OBAMA                        BL,34.0214,-118.3351
1000008,241512832,2024-08-15,2024-08-15,14:05,15,N Hollywood,1586,Misdemeanor,888,TRESPASSING,1501 0910 1822 2052,0.0,Non-Binary,Unknown,912.0,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY,No Weapon Recorded,No Weapon Used,IC,Invest Cont,888.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,3900 LANKERSHIM BL,Unknown,34.1393,-118.362
1000009,240316739,2024-12-03,2024-11-30,21:00,3,Southwest,326,Indictable Offence,440,THEFT PLAIN - PETTY ($950 & UNDER),1202 0344 1822,61.0,Male,Hispanic/Latin/Mexican,210.0,RESTAURANT/FAST FOOD,No Weapon Recorded,No Weapon Used,IC,Invest Cont,440.0,No Secondary Crime Code,No Tertiery Crime Code,No Quartinary Crime Code,1600 W ADAMS BL,Unknown,34.0328,-118.2974
