DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240205378,01/25/2024 12:00:00 AM,01/25/2024 12:00:00 AM,1455,2,Rampart,246,2,888,TRESPASSING,0910 1822 1501,0,X,X,904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,,,IC,Invest Cont,888,,,,600 S  ALVARADO                     ST,,34.0595,-118.2749
240906703,03/12/2024 12:00:00 AM,03/11/2024 12:00:00 AM,1600,9,Van Nuys,905,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,WYANDOTTE                    ST,VISTA DEL MONTE              AV,34.203,-118.4501
242007662,03/24/2024 12:00:00 AM,03/24/2024 12:00:00 AM,930,20,Olympic,2097,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0913 1813 1276 0340 1203,20,F,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,RAYMOND,20TH                         ST,34.0376,-118.2974
240308388,03/27/2024 12:00:00 AM,03/27/2024 12:00:00 AM,1300,3,Southwest,363,1,210,ROBBERY,1822 0104 0325 0342 0444 0945,23,X,X,402,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,3900    CRENSHAW                     BL,,34.0121,-118.3351
241012308,11/15/2024 12:00:00 AM,11/11/2024 12:00:00 AM,1330,10,West Valley,1019,1,330,BURGLARY FROM VEHICLE,0913 0344 1300 1803,66,M,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,7900    HASKELL                      AV,,34.2139,-118.4749
241210755,04/26/2024 12:00:00 AM,04/25/2024 12:00:00 AM,1700,12,77th Street,1265,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8400 S  VERMONT                      AV,,33.9611,-118.2917
240709778,06/26/2024 12:00:00 AM,03/13/2024 12:00:00 AM,500,7,Wilshire,789,2,354,THEFT OF IDENTITY,0100 1822 0930,39,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2000    3RD                          AV,,34.0387,-118.3201
240309156,04/13/2024 12:00:00 AM,04/13/2024 12:00:00 AM,1235,3,Southwest,353,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104 1822,23,X,X,405,CLOTHING STORE,,,IC,Invest Cont,442,,,,CRENSHAW                     BL,OBAMA                        BL,34.0214,-118.3351
241512832,08/15/2024 12:00:00 AM,08/15/2024 12:00:00 AM,1405,15,N Hollywood,1586,2,888,TRESPASSING,1501 0910 1822 2052,0,X,X,912,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY,,,IC,Invest Cont,888,,,,3900    LANKERSHIM                   BL,,34.1393,-118.362
240316739,12/03/2024 12:00:00 AM,11/30/2024 12:00:00 AM,2100,3,Southwest,326,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1202 0344 1822,61,M,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,1600 W  ADAMS                        BL,,34.0328,-118.2974
240316894,12/09/2024 12:00:00 AM,12/06/2024 12:00:00 AM,2300,3,Southwest,391,1,330,BURGLARY FROM VEHICLE,0344 1300 1601 1822,57,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330,,,,4100    DON LUIS                     DR,,34.0066,-118.3423
